,streams (int),speechiness_%,instrumentalness_%,liveness_%,acousticness_%,energy_%,valence_%,danceability_%,bpm,in_spotify_charts,in_spotify_playlists,artist_count,artist(s)_name,mode
255,39893489.0,5,0,32,10,76,44,50,176,0,715,1,['Ed Sheeran'],Minor
256,92035115.0,5,0,11,11,88,38,80,104,13,327,2,"['Nile Rodgers', 'LE SSERAFIM']",Minor
257,118810253.0,30,0,47,31,84,83,70,85,12,244,1,['Agust D'],Major
258,77233241.0,5,0,26,39,58,69,77,117,4,385,2,"['Rich The Kid', 'Matu�']",Minor
259,206399629.0,39,0,15,86,48,57,52,80,35,1020,1,['Karol G'],Major
260,117747907.0,5,0,38,50,41,36,44,98,3,1730,1,['Labrinth'],Major
261,266624541.0,25,0,11,34,78,58,79,178,33,2127,2,"['Karol G', 'Romeo Santos']",Minor
262,293186992.0,3,0,22,48,33,27,51,148,9,3242,1,['Lizzy McAlpine'],Major
263,139681964.0,3,0,38,65,66,94,77,120,10,526,1,['Fifty Fifty'],Major
264,123132751.0,5,0,8,1,88,38,68,122,15,366,1,['IVE'],Minor
265,103762518.0,4,0,9,42,73,75,74,144,2,472,1,['sped up 8282'],Major
266,162887075.0,36,0,10,33,47,47,93,96,12,432,2,"['Cartel De Santa', 'La Kelly']",Major
267,91221625.0,9,0,17,16,88,35,77,137,12,271,1,['SEVENTEEN'],Major
268,190490915.0,42,0,53,12,61,71,94,121,4,816,1,['NLE Choppa'],Minor
269,96180277.0,3,0,50,1,57,10,60,119,0,1169,2,"['The Weeknd', 'Future']",Minor
270,185240616.0,4,0,13,71,47,40,72,96,6,1282,1,['Taylor Swift'],Major
271,885093467.0,5,1,11,66,52,53,87,111,34,6587,1,['Karol G'],Major
272,104992946.0,19,0,10,14,68,74,90,148,4,1444,2,"['Nicki Minaj', 'Ice Spice']",Major
273,147290338.0,5,0,6,8,59,80,57,182,10,356,2,"['Grupo Marca Registrada', 'Grupo Frontera']",Major
274,1302184087.0,9,0,4,28,86,82,79,141,30,10147,1,['Ed Sheeran'],Major
275,158950978.0,9,0,6,19,81,80,76,145,6,265,2,"['Fuerza Regida', 'Peso Pluma']",Minor
276,76910644.0,6,0,41,1,70,26,76,110,9,351,2,"['TAEYANG', 'Lisa']",Minor
277,137123880.0,3,0,10,41,41,35,70,134,4,158,1,['Raim Laode'],Major
278,782369383.0,10,0,6,18,62,78,92,130,33,7613,1,['ROSAL�'],Major
279,502574952.0,7,0,8,35,53,88,84,145,6,3956,1,['Meghan Trainor'],Major
280,207033255.0,4,10,15,1,90,36,69,130,10,1638,3,"['sped up nightcore', 'ARIZONATEARS', 'Lil Uzi Vert']",Minor
281,404887295.0,3,0,23,12,53,69,59,173,18,924,1,['Grupo Frontera'],Major
282,381161027.0,15,0,10,25,76,55,75,92,35,1985,1,['Quevedo'],Minor
