antecedents,consequents,lift
"frozenset({'Vishal-Shekhar', 'Kumaar'})",frozenset({'Shekhar Ravjiani'}),476.5
"frozenset({'Shekhar Ravjiani', 'Vishal-Shekhar'})",frozenset({'Kumaar'}),476.5
frozenset({'Kumaar'}),"frozenset({'Vishal Dadlani', 'Shekhar Ravjiani'})",476.5
"frozenset({'Shekhar Ravjiani', 'Kumaar'})",frozenset({'Vishal-Shekhar'}),476.5
"frozenset({'League of Legends', 'Imagine Dragons'})",frozenset({'Arcane'}),476.5
frozenset({'Arcane'}),"frozenset({'League of Legends', 'Imagine Dragons'})",476.5
frozenset({'League of Legends'}),"frozenset({'Arcane', 'Imagine Dragons'})",476.5
"frozenset({'Vishal Dadlani', 'Shekhar Ravjiani'})",frozenset({'Kumaar'}),476.5
"frozenset({'Anderson .Paak', 'Bruno Mars'})",frozenset({'Silk Sonic'}),476.5
"frozenset({'Silk Sonic', 'Bruno Mars'})",frozenset({'Anderson .Paak'}),476.5
frozenset({'Vishal-Shekhar'}),frozenset({'Vishal Dadlani'}),476.5
frozenset({'Vishal Dadlani'}),frozenset({'Vishal-Shekhar'}),476.5
frozenset({'Encanto - Cast'}),frozenset({'Stephanie Beatriz'}),317.6666666666667
frozenset({'Diane Guerrero'}),frozenset({'Stephanie Beatriz'}),317.6666666666667
frozenset({'Stephanie Beatriz'}),frozenset({'Diane Guerrero'}),317.66666666666663
frozenset({'Stephanie Beatriz'}),frozenset({'Encanto - Cast'}),317.66666666666663
frozenset({'Pailita'}),frozenset({'Polima WestCoast'}),211.77777777777777
frozenset({'Polima WestCoast'}),frozenset({'Pailita'}),211.77777777777777
"frozenset({'Tiago pzk', 'Lit Killah'})",frozenset({'Maria Becerra'}),190.60000000000002
"frozenset({'Lit Killah', 'Maria Becerra'})",frozenset({'Tiago pzk'}),190.60000000000002
frozenset({'Mambo Kingz'}),frozenset({'Anuel Aa'}),190.60000000000002
frozenset({'Arcane'}),frozenset({'Imagine Dragons'}),190.60000000000002
"frozenset({'Arcane', 'League of Legends'})",frozenset({'Imagine Dragons'}),190.60000000000002
frozenset({'League of Legends'}),frozenset({'Imagine Dragons'}),190.60000000000002
frozenset({'Lit Killah'}),frozenset({'Tiago pzk'}),190.60000000000002
frozenset({'Lit Killah'}),frozenset({'Maria Becerra'}),190.60000000000002
"frozenset({'Mambo Kingz', 'DJ Luian'})",frozenset({'Anuel Aa'}),190.60000000000002
frozenset({'DJ Luian'}),frozenset({'Anuel Aa'}),190.60000000000002
frozenset({'Maria Becerra'}),frozenset({'Lit Killah'}),190.6
frozenset({'Tiago pzk'}),frozenset({'Lit Killah'}),190.6
frozenset({'Imagine Dragons'}),"frozenset({'Arcane', 'League of Legends'})",190.6
frozenset({'Anuel Aa'}),"frozenset({'Mambo Kingz', 'DJ Luian'})",190.6
frozenset({'Anuel Aa'}),frozenset({'DJ Luian'}),190.6
frozenset({'Anuel Aa'}),frozenset({'Mambo Kingz'}),190.6
frozenset({'Imagine Dragons'}),frozenset({'Arcane'}),190.6
frozenset({'Imagine Dragons'}),frozenset({'League of Legends'}),190.6
frozenset({'Maria Becerra'}),"frozenset({'Tiago pzk', 'Lit Killah'})",190.6
frozenset({'Tiago pzk'}),"frozenset({'Lit Killah', 'Maria Becerra'})",190.6
frozenset({'Arijit Singh'}),frozenset({'Sachin-Jigar'}),158.83333333333334
frozenset({'Silk Sonic'}),frozenset({'Bruno Mars'}),158.83333333333334
"frozenset({'Silk Sonic', 'Anderson .Paak'})",frozenset({'Bruno Mars'}),158.83333333333334
frozenset({'Anderson .Paak'}),frozenset({'Bruno Mars'}),158.83333333333334
frozenset({'Bruno Mars'}),frozenset({'Anderson .Paak'}),158.83333333333331
frozenset({'Bruno Mars'}),"frozenset({'Silk Sonic', 'Anderson .Paak'})",158.83333333333331
frozenset({'Sachin-Jigar'}),frozenset({'Arijit Singh'}),158.83333333333331
frozenset({'Bruno Mars'}),frozenset({'Silk Sonic'}),158.83333333333331
frozenset({'Dr. Dre'}),frozenset({'Snoop Dogg'}),127.06666666666668
frozenset({'Snoop Dogg'}),frozenset({'Dr. Dre'}),127.06666666666666
frozenset({'Mora'}),frozenset({'Sech'}),119.125
frozenset({'Sech'}),frozenset({'Mora'}),119.125
frozenset({'Jhay Cortez'}),frozenset({'Anuel Aa'}),95.30000000000001
frozenset({'Anuel Aa'}),frozenset({'Jhay Cortez'}),95.3
frozenset({'Ice Spice'}),frozenset({'Nicki Minaj'}),79.41666666666667
frozenset({'Nicki Minaj'}),frozenset({'Ice Spice'}),79.41666666666666
frozenset({'Maria Becerra'}),frozenset({'Tiago pzk'}),76.24000000000001
frozenset({'Tiago pzk'}),frozenset({'Maria Becerra'}),76.24000000000001
frozenset({'Gabito Ballesteros'}),frozenset({'Peso Pluma'}),59.5625
frozenset({'Peso Pluma'}),frozenset({'Gabito Ballesteros'}),59.5625
frozenset({'Justin Bieber'}),frozenset({'Don Toliver'}),54.45714285714287
frozenset({'Don Toliver'}),frozenset({'Justin Bieber'}),54.45714285714286
frozenset({'Lil Baby'}),frozenset({'Nicki Minaj'}),52.94444444444444
frozenset({'Nicki Minaj'}),frozenset({'Lil Baby'}),52.94444444444444
frozenset({'Young Thug'}),frozenset({'Future'}),47.650000000000006
frozenset({'Future'}),frozenset({'Young Thug'}),47.65
frozenset({'Metro Boomin'}),frozenset({'Swae Lee'}),45.38095238095239
frozenset({'Feid'}),frozenset({'Yandel'}),45.38095238095238
frozenset({'Swae Lee'}),frozenset({'Metro Boomin'}),45.38095238095238
